chem_id	umap1	umap2	Chemical Library	ProductName	n_predicted_inhibited_strains	antibiotic	Reported Activity
HY-Y1088	10.218871	8.005242	MCE	Hydrocinnamic acid	0	not_abx	NA
HY-N0440	1.7940799	1.3861428	MCE	Germacrone	0	not_abx	NA
HY-N0411	1.5706283	1.9753188	MCE	β-Carotene	0	not_abx	NA
HY-D0205A	5.9088416	1.3451663	MCE	Carbocisteine	0	not_abx	NA
HY-F0001	7.9133034	1.043327	MCE	NADH (disodium salt)	0	not_abx	NA
HY-D0885B	5.1992373	0.7982809	MCE	Phosphocreatine (disodium)	0	not_abx	NA
HY-D0981	7.6821084	12.237751	MCE	7-Amino-4-(trifluoromethyl)coumarin	0	not_abx	NA
HY-Y0248A	1.897472	1.2990462	MCE	Farnesol	0	not_abx	NA
HY-Y1069	3.4300551	0.43189067	MCE	(S)-2-Hydroxysuccinic acid	0	not_abx	NA
HY-N0380	-0.16460027	4.7687716	MCE	Nardosinone	0	not_abx	NA
HY-N0379	3.113481	-2.2128017	MCE	D-Mannose	0	not_abx	NA
HY-N0623	6.442307	11.73249	MCE	L-Tryptophan	0	not_abx	NA
HY-F0004	7.6698003	0.9989664	MCE	β-Nicotinamide mononucleotide	0	not_abx	NA
HY-Y0202	12.319311	7.5530024	MCE	Pyrocatechuic acid	0	not_abx	NA
HY-N0378	3.8600633	-1.5834482	MCE	D-Mannitol	0	not_abx	NA
HY-N0625A	11.790624	6.9575377	MCE	Alpinetin	0	not_abx	NA
HY-N0377	11.775153	7.340271	MCE	Liquiritigenin	0	not_abx	NA
HY-I0021	6.8031435	6.8559012	MCE	Bepotastine	0	not_abx	NA
HY-N0376	10.829815	4.76135	MCE	Liquiritin	0	not_abx	NA
HY-B2123	2.6094384	-2.426662	MCE	Lactose	0	not_abx	NA
HY-Y1009	3.6540344	0.96131927	MCE	Methoxyacetic acid	0	not_abx	NA
HY-W050154	12.374575	7.290961	MCE	Kojic acid	0	not_abx	NA
HY-N0384	11.62196	6.9784317	MCE	Homovanillic acid	0	not_abx	NA
HY-D0251	11.581767	7.600596	MCE	Fluorescein	0	not_abx	NA
HY-N0619	10.994191	4.642276	MCE	Mulberroside A	0	not_abx	NA
HY-N0404	2.5977328	-1.4582772	MCE	Sinigrin	0	not_abx	NA
HY-N0610	10.697656	7.3250055	MCE	trans-Cinnamic acid	0	not_abx	NA
HY-N0402	0.04862758	3.074829	MCE	Artemether	0	not_abx	NA
HY-W051723	3.5713384	0.9950244	MCE	(R)-3-Hydroxybutanoic acid	0	not_abx	NA
HY-N0395	2.9781954	-2.3077116	MCE	Fructose	0	not_abx	NA
HY-N0394	5.9379034	1.372107	MCE	L-Cystine	0	not_abx	NA
HY-N0610A	10.808733	7.3759365	MCE	Cinnamic acid	0	not_abx	NA
HY-N0393	10.622184	6.132512	MCE	Glabridin	0	not_abx	NA
HY-N0391	5.1521993	0.93978184	MCE	L-Citrulline	0	not_abx	NA
HY-D0211	11.335602	7.6389484	MCE	Phenolphthalein	0	not_abx	NA
HY-N0390	4.9350286	0.6649573	MCE	L-Glutamine	0	not_abx	NA
HY-B2130	9.92382	1.5854499	MCE	Uric acid	0	not_abx	NA
HY-N0387	4.437406	6.700581	MCE	Rhynchophylline	0	not_abx	NA
HY-D0227	3.8534405	-0.73990387	MCE	Trometamol	0	not_abx	NA
HY-D0227A	3.8122375	-0.79633045	MCE	Trometamol (hydrochloride)	0	not_abx	NA
HY-Y0017	4.5482836	1.5275168	MCE	L-Norleucine	0	not_abx	NA
HY-N0464	2.9982076	-1.9613217	MCE	D-(-)-Quinic acid	0	not_abx	NA
HY-N0455	5.297518	0.8831551	MCE	L-Arginine	0	not_abx	NA
HY-N0525	12.382549	6.645804	MCE	Ethyl gallate	0	not_abx	NA
HY-Y1667	12.600621	4.5793834	MCE	2,6-Dibromophenol	0	not_abx	NA
HY-N0532	2.4006846	-1.6350892	MCE	Morroniside	0	not_abx	NA
HY-N0529	11.818703	6.405458	MCE	Rosmarinic acid	0	not_abx	NA
HY-N0526	7.2006254	14.159931	MCE	2""-O-Galloylhyperin	0	not_abx	NA
HY-Y1683	2.6381247	4.1580105	MCE	DL-Menthol	0	not_abx	NA
HY-N0570	11.159157	6.6774287	MCE	Hydroxytyrosol	0	not_abx	NA
HY-N0573	7.8714213	12.431327	MCE	Umbelliferone	0	not_abx	NA
HY-N0520	7.1803746	13.72323	MCE	Calycosin-7-O-β-D-glucoside	0	not_abx	NA
HY-N0575	11.811494	7.2675767	MCE	Pinocembrin	0	not_abx	NA
HY-N0524	12.327569	6.621212	MCE	Propyl gallate	0	not_abx	NA
HY-N0588	-0.38763183	2.7443998	MCE	Deapioplatycodin D	0	not_abx	NA
HY-N0589	10.905238	6.010906	MCE	Dehydrodiisoeugenol	0	not_abx	NA
HY-N0523	12.648551	7.0798984	MCE	Gallic acid	0	not_abx	NA
HY-Y0030	10.694593	8.755989	MCE	3-Hydroxypicolinic acid	0	not_abx	NA
HY-N0537	3.1468542	-2.2168975	MCE	Xylose	0	not_abx	NA
HY-N0568	-0.34632352	3.0414333	MCE	Madecassoside	0	not_abx	NA
HY-N0538	3.990131	-1.5158368	MCE	Xylitol	0	not_abx	NA
HY-N0567	2.540623	-1.5720376	MCE	Hydroxysafflor yellow A	0	not_abx	NA
HY-Y1314	4.1385546	1.464049	MCE	Dimethyl sulfone	0	not_abx	NA
HY-B2191	8.456837	7.619469	MCE	Sodium gualenate	0	not_abx	NA
HY-N0540	7.208619	14.036376	MCE	Cynaroside	0	not_abx	NA
HY-B2184	10.763674	6.5702276	MCE	Sofalcone	0	not_abx	NA
HY-B2177	3.3299727	1.8511252	MCE	Apronal	0	not_abx	NA
HY-B2165	6.7392797	9.818827	MCE	Bendazac L-Lysine	0	not_abx	NA
HY-Y1366	2.4069614	0.9930202	MCE	Hydroxyacetone	0	not_abx	NA
HY-N0551	7.663966	12.709101	MCE	Wedelolactone	0	not_abx	NA
HY-N0549	-0.13047975	5.2299905	MCE	(-)-α-Pinene	0	not_abx	NA
HY-B2174	6.435851	11.553732	MCE	Ethacridine (lactate)	0	not_abx	NA
HY-Y1373	3.0543416	2.7857478	MCE	Cyclohexanecarboxylic acid	0	not_abx	NA
HY-Y1426	11.638774	7.999346	MCE	2'-Hydroxyacetophenone	0	not_abx	NA
HY-N0550	-0.09292047	5.40657	MCE	β-Pinene	0	not_abx	NA
HY-Y0068	9.682685	7.387723	MCE	N-Acetyl-L-phenylalanine	0	not_abx	NA
HY-N0517	11.40216	6.2329435	MCE	Erianin	0	not_abx	NA
HY-N0455A	5.2939196	0.931848	MCE	L-Arginine (hydrochloride)	0	not_abx	NA
HY-N0469	5.0625215	1.2279841	MCE	L-Lysine	0	not_abx	NA
HY-Z0283	10.154728	8.281834	MCE	Benzamide	0	not_abx	NA
HY-B2141	8.072896	10.926085	MCE	Bendazol	0	not_abx	NA
HY-Y0078	10.401321	7.533057	MCE	Cinnamyl Alcohol	0	not_abx	NA
HY-N0474	11.063167	7.3841605	MCE	Tyrosol	0	not_abx	NA
HY-B2233B	4.6127033	3.7737586	MCE	Phosphorylcholine	0	not_abx	NA
HY-N0470	5.0857444	1.2208043	MCE	L-Lysine hydrochloride	0	not_abx	NA
HY-N0467	-0.36776423	2.3833477	MCE	Rebaudioside C	0	not_abx	NA
HY-Y1718	3.1680415	2.5206063	MCE	Tridecanoic acid	0	not_abx	NA
HY-N0466	-0.31753907	2.4825096	MCE	Rebaudioside A	0	not_abx	NA
HY-Y0084	11.908922	6.241002	MCE	3,4,5-Trimethoxybenzoic acid	0	not_abx	NA
HY-B2167	2.316349	1.5957367	MCE	Docosahexaenoic Acid	0	not_abx	NA
HY-Y0095	3.9237761	0.89364636	MCE	Isethionic acid	0	not_abx	NA
HY-Y0106	12.090395	7.7500405	MCE	2,6-Dihydroxyacetophenone	0	not_abx	NA
HY-B2137	10.398563	8.441558	MCE	S-(+)-Ketoprofen	0	not_abx	NA
HY-N0484	9.574453	4.8552666	MCE	Liensinine	0	not_abx	NA
HY-Y0069	4.3986096	0.7150347	MCE	N-Acetylglycine	0	not_abx	NA
HY-N0486	4.435712	1.8593676	MCE	L-Leucine	0	not_abx	NA
HY-Y1819	7.1506267	12.103154	MCE	2-Acetonaphthone	0	not_abx	NA
HY-B2219	3.3063257	2.9207141	MCE	Stearic acid	0	not_abx	NA
HY-Y1311	3.5242417	0.48805007	MCE	Malic acid	0	not_abx	NA
HY-N0492	5.237742	2.6698744	MCE	α-Lipoic Acid	0	not_abx	NA
HY-N0494	2.4564307	-1.421242	MCE	Gentiopicroside	0	not_abx	NA
HY-B2215	4.1215568	6.3937674	MCE	Dimemorfan (phosphate)	0	not_abx	NA
HY-B2155	7.293909	4.873486	MCE	Acotiamide (monohydrochloride trihydrate)	0	not_abx	NA
HY-B2206	1.9058310999999999	1.2813028	MCE	Gefarnate	0	not_abx	NA
HY-N0510	7.608982	12.64442	MCE	Aristolochic acid A	0	not_abx	NA
HY-N0595	7.1460414	13.885094	MCE	Genistin	0	not_abx	NA
HY-N0512	2.2754366	-1.4509385	MCE	Loganin	0	not_abx	NA
HY-B2162	2.8556786	-1.4662673	MCE	Chondroitin (sulfate)	0	not_abx	NA
HY-N0593A	0.48725602	5.6790123	MCE	Deoxycholic acid sodium salt	0	not_abx	NA
HY-Y1809	3.3988192	3.059446	MCE	1-Hydroxyoctadecane	0	not_abx	NA
HY-B2209A	4.2600174	4.9980936	MCE	Hydroxocobalamin (monohydrochloride)	0	not_abx	NA
HY-Y0678	11.866629	6.2348213	MCE	1,3,5-Trimethoxybenzene	0	not_abx	NA
HY-I0177	5.4089622	10.099407	MCE	Vilazodone carboxylic acid	0	not_abx	NA
HY-N0155	7.7395916	11.301208	MCE	Nobiletin	0	not_abx	NA
HY-N0057	11.626048	5.627764	MCE	3,4-Dicaffeoylquinic acid	0	not_abx	NA
HY-N0148	7.398407	13.900142	MCE	Rutin	0	not_abx	NA
HY-Y0367	2.7441876	0.2739529	MCE	Maleic Acid	0	not_abx	NA
HY-N0145	7.123295	13.813383	MCE	Puerarin	0	not_abx	NA
HY-N0144	7.1769505	5.4138155	MCE	Piperine	0	not_abx	NA
HY-N0143	10.975306	4.863394	MCE	Phlorizin	0	not_abx	NA
HY-N0142	12.11265	7.4453278	MCE	Phloretin	0	not_abx	NA
HY-N0140	0.013896157	6.030395	MCE	Ursolic acid	0	not_abx	NA
HY-N0058	11.611615	5.7276306	MCE	4,5-Dicaffeoylquinic acid	0	not_abx	NA
HY-Y0378	4.445277	1.9742209	MCE	D-Leucine	0	not_abx	NA
HY-N0060	11.650669	6.1058354	MCE	Ferulic acid	0	not_abx	NA
HY-N0139	7.5144515	13.77501	MCE	Troxerutin	0	not_abx	NA
HY-N0060A	11.552504	6.2026954	MCE	Ferulic acid (sodium)	0	not_abx	NA
HY-Y0781	3.0910277	0.63027185	MCE	Pyruvic acid	0	not_abx	NA
HY-Y0418	3.910623	-1.5757202	MCE	Dulcite	0	not_abx	NA
HY-N0133	7.699038	11.383169	MCE	Tangeretin	0	not_abx	NA
HY-N0132A	9.833935	5.8916087	MCE	Synephrine (hydrochloride)	0	not_abx	NA
HY-N0154	10.939171	4.663023	MCE	Neohesperidin dihydrochalcone	0	not_abx	NA
HY-N0156	0.0143441595	6.0141883	MCE	Oleanolic Acid	0	not_abx	NA
HY-Y0771	11.584493	6.7319045	MCE	3,4-Dimethoxyphenylacetic acid	0	not_abx	NA
HY-N0157	9.020004	8.857668	MCE	Orotic acid	0	not_abx	NA
HY-N0187	7.938004	12.288795	MCE	4-Methylumbelliferone	0	not_abx	NA
HY-N0186	6.62108	11.689742	MCE	Indole-3-butyric acid	0	not_abx	NA
HY-N0184	-0.34093153	3.9658818	MCE	Glycyrrhizic acid	0	not_abx	NA
HY-N0176	-0.049960762	3.0738614	MCE	Dihydroartemisinin	0	not_abx	NA
HY-N0175	5.1547394	6.3276124	MCE	Cytisinicline	0	not_abx	NA
HY-N0172	11.784755	6.20693	MCE	Caffeic acid	0	not_abx	NA
HY-Y0366	3.2210937	2.5518894	MCE	Lauric acid	0	not_abx	NA
HY-N0628	7.446755	13.925049	MCE	Kaempferitrin	0	not_abx	NA
HY-N0170	6.902608	11.963456	MCE	Indole-3-carbinol	0	not_abx	NA
HY-N0168	12.514302	6.8523445	MCE	Hesperetin	0	not_abx	NA
HY-Y0790	9.108046	7.5062346	MCE	Cuminaldehyde	0	not_abx	NA
HY-N0163	10.243402	8.94983	MCE	Magnolol	0	not_abx	NA
HY-N0159	11.978478	7.129615	MCE	Paeonol	0	not_abx	NA
HY-N0049	9.3180895	4.8118386	MCE	Nuciferine	0	not_abx	NA
HY-N0055	11.377612	5.2256637	MCE	Chlorogenic acid	0	not_abx	NA
HY-N0056	11.630797	5.650529	MCE	Isochlorogenic acid A	0	not_abx	NA
HY-N0158	2.6822379	4.844944	MCE	Oxymatrine	0	not_abx	NA
HY-N0060B	11.697828	6.129739	MCE	(E)-Ferulic acid	0	not_abx	NA
HY-N0130	2.971422	-1.5676174	MCE	Shikimic acid	0	not_abx	NA
HY-N0191	-0.76201385	4.8104234	MCE	Andrographolide	0	not_abx	NA
HY-N0104	0.47024038	4.6809616	MCE	Curcumol	0	not_abx	NA
HY-Y0740	11.699275	7.364091	MCE	4-Methoxybenzaldehyde	0	not_abx	NA
HY-Y0543	12.193666	7.256605	MCE	5-Methylfurfural	0	not_abx	NA
HY-Y0546	10.485051	8.399263	MCE	Benzophenone	0	not_abx	NA
HY-N0074	7.713696	12.244613	MCE	Byakangelicol	0	not_abx	NA
HY-Y0569	3.7111113	-1.6973288	MCE	D-Gluconic acid	0	not_abx	NA
HY-N0102	11.873493	7.6337814	MCE	Isoliquiritigenin	0	not_abx	NA
HY-N0101	10.988192	4.6943965	MCE	Neohesperidin	0	not_abx	NA
HY-N0100	12.147336	7.21329	MCE	Naringenin	0	not_abx	NA
HY-N0098	12.079284	7.0825343	MCE	Vanillin	0	not_abx	NA
HY-Y0585	10.554066	8.177066	MCE	D-(-)-Mandelic acid	0	not_abx	NA
HY-N0076	-0.6588865	4.436466	MCE	Bilobalide	0	not_abx	NA
HY-Y0624	2.8168619	0.96040183	MCE	4-Pentenoic acid	0	not_abx	NA
HY-N0096	9.231384	4.827018	MCE	Rotundine	0	not_abx	NA
HY-N0088	11.774682	6.7291265	MCE	Apocynin	0	not_abx	NA
HY-N0095	7.1138506	10.909418	MCE	(S)-10-Hydroxycamptothecin	0	not_abx	NA
HY-Y0669	4.6230617	3.0062857	MCE	Pipecolic acid	0	not_abx	NA
HY-Y0694	12.236589	7.665184	MCE	2',4'-Dihydroxyacetophenone	0	not_abx	NA
HY-N0103	2.6497018	4.925848	MCE	Sophocarpine	0	not_abx	NA
HY-Y0511	5.1894474	1.7356122	MCE	N-Methylsarcosine	0	not_abx	NA
HY-N0129	0.29652116	5.500204	MCE	Sclareolide	0	not_abx	NA
HY-N0108	11.713833	7.1409063	MCE	Physcion	0	not_abx	NA
HY-Y0442	10.067816	8.36356	MCE	2-Methylbenzaldehyde	0	not_abx	NA
HY-N0122	6.556017	11.677132	MCE	5-Hydroxytryptophan	0	not_abx	NA
HY-N0121	10.604973	5.167625	MCE	Sesamin	0	not_abx	NA
HY-N0119	10.970321	4.637554	MCE	Naringin Dihydrochalcone	0	not_abx	NA
HY-N0118	0.04665688	4.4619675	MCE	Lappaconitine (hydrobromide)	0	not_abx	NA
HY-Y0444	10.128243	6.6845045	MCE	D-Tyrosine	0	not_abx	NA
HY-N0061	11.339294	6.194376	MCE	Ethyl ferulate	0	not_abx	NA
HY-Y0479	3.5972593	0.6769401	MCE	L-Lactic acid	0	not_abx	NA
HY-N0117	7.846218	11.193071	MCE	Indirubin	0	not_abx	NA
HY-N0115	10.666447	4.547349	MCE	Gastrodin	0	not_abx	NA
HY-Y0760	11.846582	7.5689163	MCE	3-Methoxybenzoic acid	0	not_abx	NA
HY-N0113	9.516591	5.768531	MCE	Hordenine	0	not_abx	NA
HY-N0112	12.72867	6.852844	MCE	Dihydromyricetin	0	not_abx	NA
HY-N0062	10.919497	4.64338	MCE	Angoroside C	0	not_abx	NA
HY-N0064	9.802102	5.098348	MCE	Macelignan	0	not_abx	NA
HY-N0067	4.745917	0.8844451	MCE	γ-Aminobutyric acid	0	not_abx	NA
HY-N0110	7.3978744	11.110314	MCE	Palmatine (chloride)	0	not_abx	NA
HY-N0190	2.4793584	-1.9598246	MCE	Amygdalin	0	not_abx	NA
HY-N0193	-0.0443817	3.0443149	MCE	Artesunate	0	not_abx	NA
HY-N0373	11.762789	6.9605384	MCE	Licochalcone B	0	not_abx	NA
HY-N0330	-0.2555156	3.980368	MCE	Momordin Ic	0	not_abx	NA
HY-N0326	5.9211874	1.626665	MCE	L-Methionine	0	not_abx	NA
HY-N0325	5.916308	1.6716729	MCE	DL-Methionine	0	not_abx	NA
HY-I0400	3.1672728	-1.3488295	MCE	N-Acetylneuraminic acid	0	not_abx	NA
HY-I0626	8.843144	8.689786	MCE	Cytosine	0	not_abx	NA
HY-Y0271	5.200084	0.43002343	MCE	Urea	0	not_abx	NA
HY-N0323	7.930804	5.9897265	MCE	Bilirubin	0	not_abx	NA
HY-I0637	12.063674	7.0818586	MCE	Isovanillin	0	not_abx	NA
HY-Y0966	4.9753833	0.34402832	MCE	Glycine	0	not_abx	NA
HY-I0660	9.753207	9.162227	MCE	PCL 016	0	not_abx	NA
HY-N0305	4.6500916	0.63811564	MCE	5-Aminolevulinic acid (hydrochloride)	0	not_abx	NA
HY-Y0949	12.214003	7.254877	MCE	Methyl 2-furoate	0	not_abx	NA
HY-I0736	9.818066	9.287692	MCE	Isonicotinic acid	0	not_abx	NA
HY-I0960	9.053235	8.880498	MCE	Uracil	0	not_abx	NA
HY-N0300	9.296249	4.7848334	MCE	Tetrahydropalmatine	0	not_abx	NA
HY-I1060	4.4289317	1.8534809	MCE	L-Alloisoleucine	0	not_abx	NA
HY-N0298	3.8295288	4.288406	MCE	Stachydrine	0	not_abx	NA
HY-Y0272	9.814705	8.772597	MCE	Saccharin	0	not_abx	NA
HY-Y0267	11.571224	8.093819	MCE	Phenoxyacetic acid	0	not_abx	NA
HY-I0383	7.409945	9.867106	MCE	Canagliflozin (hemihydrate)	0	not_abx	NA
HY-N0297	7.6968207	11.469012	MCE	Sinensetin	0	not_abx	NA
HY-N0335	7.858981	11.157786	MCE	Indigo	0	not_abx	NA
HY-N0370	7.711742	12.576718	MCE	Bergapten	0	not_abx	NA
HY-N0368	1.9019563	1.4272584	MCE	Linalool	0	not_abx	NA
HY-N0367	10.963395	6.626028	MCE	Trans-Anethole	0	not_abx	NA
HY-Y0252	4.6582384	2.9606616	MCE	L-Proline	0	not_abx	NA
HY-Y0262	3.1476488	0.22317612	MCE	Oxalic Acid	0	not_abx	NA
HY-I0301	3.5177865	-1.851358	MCE	D-(+)-Glucono-1,5-lactone	0	not_abx	NA
HY-N0355	12.693651	6.8448215	MCE	(+)-Catechin hydrate	0	not_abx	NA
HY-Y0264	11.892878	8.025215	MCE	4-Hydroxybenzoic acid	0	not_abx	NA
HY-N0351	11.622523	6.5901136	MCE	p-Coumaric acid	0	not_abx	NA
HY-N0349	11.868299	7.695774	MCE	Methyl Paraben	0	not_abx	NA
HY-N0346A	11.217508	6.4228516	MCE	(E)-Ethyl p-methoxycinnamate	0	not_abx	NA
HY-N0343	10.7986965	4.6025085	MCE	Helicid	0	not_abx	NA
HY-N0339	11.967763	6.3383603	MCE	Syringic acid	0	not_abx	NA
HY-N0091	10.043594	1.5881075	MCE	Hypoxanthine	0	not_abx	NA
HY-N0338	10.8518305	4.768638	MCE	(-)-Syringaresnol-4-O-β-D-apiofuranosyl-(1→2)-β-D-glucopyranoside	0	not_abx	NA
HY-N0337	11.15311	6.2922583	MCE	Eugenol	0	not_abx	NA
HY-N0336	9.628564	7.169383	MCE	3-Butylidenephthalide	0	not_abx	NA
HY-N0001	12.613698	6.845714	MCE	(-)-Epicatechin	0	not_abx	NA
HY-Y0946	4.9615707	0.39657068	MCE	Acetamide	0	not_abx	NA
HY-Y0801	12.175267	7.8637056	MCE	2,6-Dihydroxybenzoic acid	0	not_abx	NA
HY-Y0293	3.4389248	0.41941097	MCE	L-Tartaric acid	0	not_abx	NA
HY-N0216	11.024701	8.227943	MCE	Benzoic acid	0	not_abx	NA
HY-N0215	9.582122	7.483596	MCE	L-Phenylalanine	0	not_abx	NA
HY-Y0304	7.523634	5.13906	MCE	Dibutyl phthalate	0	not_abx	NA
HY-N0015	7.1751404	14.014817	MCE	Astragalin	0	not_abx	NA
HY-N0210	3.1748707	-2.2798204	MCE	D-Galactose	0	not_abx	NA
HY-Y0313	11.833918	8.047442	MCE	p-Hydroxybenzaldehyde	0	not_abx	NA
HY-N0016	8.948842	11.698719	MCE	Glycitein	0	not_abx	NA
HY-N0017	10.939943	4.742886	MCE	Bergenin	0	not_abx	NA
HY-N0207	0.30694383	5.9206867	MCE	Patchouli alcohol	0	not_abx	NA
HY-Y0892	11.187014	7.6175575	MCE	4-Hydroxybenzyl alcohol	0	not_abx	NA
HY-N0018	7.1835766	13.801282	MCE	Daidzin	0	not_abx	NA
HY-Y0842	5.1271048	0.37156227	MCE	Formamide	0	not_abx	NA
HY-N0036	1.6512823	1.8621247	MCE	Costunolide	0	not_abx	NA
HY-Y0337	5.890537	1.370261	MCE	L-Cysteine	0	not_abx	NA
HY-N0197	7.138019	13.917827	MCE	Baicalin	0	not_abx	NA
HY-Y0839	3.1320903	0.74432105	MCE	Levulinic acid	0	not_abx	NA
HY-Y0337A	5.996768	1.3564572	MCE	L-Cysteine (hydrochloride)	0	not_abx	NA
HY-N0012	7.206566	13.745407	MCE	Glycitin	0	not_abx	NA
HY-N0221	9.590436	4.894782	MCE	Daurisoline	0	not_abx	NA
HY-N0295	12.326553	7.714529	MCE	Protocatechualdehyde	0	not_abx	NA
HY-N0010	2.5613046	-1.4374212	MCE	Geniposidic acid	0	not_abx	NA
HY-N0005	11.471912	6.28139	MCE	Curcumin	0	not_abx	NA
HY-N0292	10.88401	4.505648	MCE	Oleuropein	0	not_abx	NA
HY-N0290	7.196748	14.094001	MCE	Mangiferin	0	not_abx	NA
HY-N0286	7.6881566	12.413454	MCE	Isoimperatorin	0	not_abx	NA
HY-N0006	11.531527	6.5314727	MCE	Demethoxycurcumin	0	not_abx	NA
HY-N0007	11.355352	6.902633	MCE	Bisdemethoxycurcumin	0	not_abx	NA
HY-Y0935	9.099851	5.3628497	MCE	3,4-Dimethoxyphenethylamine	0	not_abx	NA
HY-N0009	2.4823728	-1.4708463	MCE	Geniposide	0	not_abx	NA
HY-N0274	11.261532	6.800636	MCE	Caffeic acid phenethyl ester	0	not_abx	NA
HY-N0269	11.681167	7.4295187	MCE	Echinatin	0	not_abx	NA
HY-N0268	7.6702447	11.387686	MCE	Irisflorentin	0	not_abx	NA
HY-N0264	7.529762	9.1784115	MCE	Tetramethylpyrazine	0	not_abx	NA
HY-N0243	12.746356	6.8932667	MCE	Theaflavin	0	not_abx	NA
HY-N0239	-0.04012143	4.448466	MCE	Bulleyaconitine A	0	not_abx	NA
HY-N0230	4.874396	0.3916872	MCE	β-Alanine	0	not_abx	NA
HY-N0229	4.9466850000000004	0.41185278	MCE	L-Alanine	0	not_abx	NA
HY-Y0289	3.374548	2.970359	MCE	1-Dodecanol	0	not_abx	NA
HY-N0626	2.6363676	1.0148793	MCE	Sorbic acid	0	not_abx	NA
HY-W027555	3.6125307	1.0433277	MCE	Ethoxyacetic acid	0	not_abx	NA
HY-N0629	0.085724086	6.0186753	MCE	Maslinic acid	0	not_abx	NA
HY-N2406	11.436645	7.260408	MCE	Dihydrocaffeic acid	0	not_abx	NA
HY-N6952	2.05165	1.173861	MCE	Geraniol	0	not_abx	NA
HY-W012836	10.945774	7.279852	MCE	4-Ethylphenol	0	not_abx	NA
HY-N6951	8.649284	7.764967	MCE	Guaiazulene	0	not_abx	NA
HY-W012860	10.092201	8.29745	MCE	p-Tolualdehyde	0	not_abx	NA
HY-N6949	11.560215	7.4807825	MCE	Juglone	0	not_abx	NA
HY-N6929	2.6506424	0.90278417	MCE	Angelic acid	0	not_abx	NA
HY-W012926	5.211696	1.410067	MCE	Dihydrouracil	0	not_abx	NA
HY-N6871	-0.12206902	4.9490376	MCE	Abietic acid	0	not_abx	NA
HY-W012941	9.301691	9.682974	MCE	2-Thiophenecarboxaldehyde	0	not_abx	NA
HY-W012946	12.190413	7.356183	MCE	2-Furoic acid	0	not_abx	NA
HY-W012974	4.8153543	0.8033431	MCE	3-Amino-2-methylpropanoic acid	0	not_abx	NA
HY-W012980	3.425229	1.4598805	MCE	3-Methylbutanoic acid	0	not_abx	NA
HY-W012999	2.6175945	0.9140476	MCE	Tiglic acid	0	not_abx	NA
HY-N6825	2.4295976	1.7342794	MCE	Hydroxy-α-sanshool	0	not_abx	NA
HY-W013014	1.8188074	1.3899912	MCE	3-Methyl-2-cyclopenten-1-one	0	not_abx	NA
HY-N6824	2.3748975	1.7754673	MCE	Hydroxy-β-sanshool	0	not_abx	NA
HY-W013049	3.3279374	3.0265296	MCE	Docosanoic acid	0	not_abx	NA
HY-N6810	8.848629	6.8125224	MCE	Thymol	0	not_abx	NA
HY-W013494	6.5749087	2.8746495	MCE	L-Carnosine	0	not_abx	NA
HY-W014081	7.475052	12.3128395	MCE	Ethyl 3-coumarincarboxylate	0	not_abx	NA
HY-W014102	4.949478	0.8395534	MCE	L-Alanyl-L-glutamine	0	not_abx	NA
HY-N6807	11.299605	6.039043	MCE	Elemicin	0	not_abx	NA
HY-W014125	3.1235254	1.7086308	MCE	Undecanedioic acid	0	not_abx	NA
HY-W012814	11.49658	6.955152	MCE	4-Methylcatechol	0	not_abx	NA
HY-W012788	12.291164	7.334157	MCE	Maltol	0	not_abx	NA
HY-W012734	4.569656	3.0128102	MCE	H-HoPro-OH	0	not_abx	NA
HY-W012657	9.878072	8.204934	MCE	4-Ethylbenzaldehyde	0	not_abx	NA
HY-N7127	11.455498	6.736022	MCE	(E)-m-Coumaric acid	0	not_abx	NA
HY-N7117	2.1440434	4.359577	MCE	1,4-Cineole	0	not_abx	NA
HY-N7109	3.0327873	2.4297397	MCE	Erucic acid	0	not_abx	NA
HY-W012479	6.4106445	11.661392	MCE	H-D-Trp-OH	0	not_abx	NA
HY-W012480	6.415764	11.644118	MCE	DL-Tryptophan	0	not_abx	NA
HY-W012499	5.845426	1.6906065	MCE	N-Acetyl-L-methionine	0	not_abx	NA
HY-W012530	10.42475	8.109275	MCE	Phenylpyruvic acid	0	not_abx	NA
HY-W012575	12.3316965	7.6840215	MCE	2,4-Dihydroxybenzoic acid	0	not_abx	NA
HY-W012595	10.433734	7.471811	MCE	Benzylideneacetone	0	not_abx	NA
HY-W012595A	10.380968	7.460665	MCE	trans-Benzylideneacetone	0	not_abx	NA
HY-N7092	3.010374	-2.297549	MCE	D-Fructose	0	not_abx	NA
HY-N6979	0.11609569	4.343027	MCE	Crustecdysone	0	not_abx	NA
HY-W012658	9.858441	7.9055514	MCE	2-Methylacetophenone	0	not_abx	NA
HY-W012708	4.4382353	1.8595803	MCE	3-Amino-4-methylpentanoic acid	0	not_abx	NA
HY-N7080	11.438763	6.8483505	MCE	Dihydroferulic acid	0	not_abx	NA
HY-N7075	2.2434552	-2.5922077	MCE	Inulin	0	not_abx	NA
HY-W012722	3.3775992	1.6183892	MCE	4-Methyl-2-oxopentanoic acid	0	not_abx	NA
HY-N7067	6.8397064	8.172778	MCE	Revaprazan (hydrochloride)	0	not_abx	NA
HY-N7063	1.986601	1.1985223	MCE	Nerol	0	not_abx	NA
HY-N7056	11.051115	7.6487155	MCE	4'-Hydroxychalcone	0	not_abx	NA
